model,best_config,train_time_seconds,notes
XGBoost,"{""n_estimators"": 1000, ""learning_rate"": 0.01, ""max_depth"": 7, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_alpha"": 0.1, ""reg_lambda"": 5.0, ""objective"": ""binary:logistic"", ""eval_metric"": ""logloss"", ""random_state"": 42, ""n_jobs"": -1, ""tree_method"": ""hist"", ""device"": ""cuda""}",22.35238479999998,early stopping used during validation search; XGBoost ran on GPU
MLP,"{""hidden_layer_sizes"": [64], ""activation"": ""relu"", ""learning_rate_init"": 0.001, ""max_iter"": 30, ""alpha"": 0.0001, ""batch_size"": 512, ""random_state"": 42}",25.92415500000004,scaled inputs with dense one-hot encoding
